,Gene ID,Gene Name,Outcome,Gene Result,Gene For Length,Gene For Score,Gene Rev Length,Gene Rev Score,Gene Length,Template Result,Template For Length,Template For Score,Template Rev Length,Template Rev Score,Template Length
16,BBF10K_000317,MMSYN1_0691,Original_vector_sequence,Bad clone,597,246.0,443,191.0,2022,Perfect,597,597.0,443,443.0,893
17,BBF10K_000150,MMSYN1_0346,Unknown_sequence,Bad clone,491,206.0,415,177.0,696,Bad clone,491,209.0,415,178.0,893
18,BBF10K_000289,MMSYN1_0645,Good_sequence,Perfect,436,436.0,485,485.0,954,Bad clone,436,186.0,485,206.0,893
19,BBF10K_000103,MMSYN1_0240,Good_sequence,Bad Forward,975,903.0,416,416.0,1188,Bad clone,975,348.0,416,178.0,893
20,BBF10K_000199,MMSYN1_0419,Point_mutation,Mutation: 0.0 2.0,524,524.0,406,404.0,1005,Bad clone,524,222.0,406,175.0,893
21,BBF10K_000047,MMSYN1_0115,Original_vector_sequence,Bad clone,515,216.0,424,180.0,873,Perfect,515,515.0,424,424.0,893
22,BBF10K_000026,MMSYN1_0047,Bad_reads,Bad_reads,13,13.0,6,6.0,2007,Bad_reads,13,9.0,6,4.0,893
23,BBF10K_000098,MMSYN1_0230,Good_sequence,Perfect,586,586.0,449,449.0,1182,Bad clone,586,247.0,449,193.0,893
24,BBF10K_000084,MMSYN1_0201,Good_sequence,Perfect,549,549.0,442,442.0,603,Bad clone,549,231.0,442,189.0,893
25,BBF10K_000112,MMSYN1_0260,Good_sequence,Perfect,451,451.0,460,460.0,2619,Bad clone,451,191.0,460,202.0,893
26,BBF10K_000220,MMSYN1_0443,Good_sequence,Perfect,469,469.0,461,461.0,564,Bad clone,469,191.0,461,193.0,893
27,BBF10K_000132,MMSYN1_0301,Good_sequence,Perfect,516,495.0,535,495.0,495,Bad clone,516,219.0,535,224.0,893
28,BBF10K_000226,MMSYN1_0452,Good_sequence,Perfect,233,233.0,411,411.0,1932,Bad clone,233,103.0,411,174.0,893
29,BBF10K_000369,MMSYN1_0823,Original_vector_sequence,Bad clone,517,215.0,316,134.0,1116,Perfect,517,517.0,316,316.0,893
30,BBF10K_000003,MMSYN1_0003,Good_sequence,Perfect,503,503.0,434,434.0,543,Bad clone,503,213.0,434,189.0,893
31,BBF10K_000304,MMSYN1_0664,Good_sequence,Perfect,545,414.0,419,414.0,414,Bad clone,545,233.0,419,179.0,893
32,BBF10K_000313,MMSYN1_0686,Bad_reads,Bad_reads,1,1.0,4,4.0,729,Bad_reads,1,1.0,4,4.0,893
33,BBF10K_000056,MMSYN1_0133,Unknown_sequence,Bad clone,482,222.0,423,195.0,2274,Bad clone,482,200.0,423,181.0,893
34,BBF10K_000033,MMSYN1_0066,Original_vector_sequence,Bad clone,546,226.0,389,168.0,843,Perfect,546,546.0,389,389.0,893
35,BBF10K_000100,MMSYN1_0234,Original_vector_sequence,Bad clone,538,193.0,392,165.0,465,Perfect,538,538.0,392,392.0,893
36,BBF10K_000134,MMSYN1_0303,Unknown_sequence,Bad clone,389,337.0,1216,882.0,4449,Bad clone,389,168.0,1216,365.0,893
37,BBF10K_000187,MMSYN1_0406,Good_sequence,Perfect,429,429.0,437,437.0,1839,Bad clone,429,183.0,437,186.0,893
38,BBF10K_000217,MMSYN1_0440,Unknown_sequence,Bad clone,418,190.0,455,212.0,2937,Bad clone,418,183.0,455,194.0,893
39,BBF10K_000253,MMSYN1_0531,Good_sequence,Perfect,466,466.0,505,505.0,4449,Bad clone,466,195.0,505,209.0,893
40,BBF10K_000072,MMSYN1_0163,Partial,Bad Reverse,561,561.0,405,337.0,2691,Bad clone,561,231.0,405,173.0,893
41,BBF10K_000244,MMSYN1_0517,Good_sequence,Perfect,576,576.0,434,434.0,933,Bad clone,576,242.0,434,186.0,893
42,BBF10K_000088,MMSYN1_0214,Good_sequence,Perfect,578,578.0,411,411.0,822,Bad clone,578,240.0,411,175.0,893
43,BBF10K_000398,MMSYN1_0906,Original_vector_sequence,Bad clone,519,213.0,348,158.0,717,Perfect,519,519.0,348,348.0,893
44,BBF10K_000215,MMSYN1_0438,Unknown_sequence,Bad clone,491,168.0,318,135.0,399,Bad clone,491,204.0,318,142.0,893
45,BBF10K_000219,MMSYN1_0442,Original_vector_sequence,Bad clone,519,181.0,415,167.0,438,Perfect,519,519.0,415,415.0,893
46,BBF10K_000248,MMSYN1_0524,Good_sequence,Perfect,476,476.0,383,383.0,927,Bad clone,476,199.0,383,159.0,893
47,BBF10K_000073,MMSYN1_0164,Original_vector_sequence,Bad clone,498,194.0,426,174.0,495,Perfect,498,498.0,426,426.0,893
48,BBF10K_000292,MMSYN1_0650,Good_sequence,Perfect,531,531.0,418,418.0,756,Bad clone,531,224.0,418,182.0,893
49,BBF10K_000093,MMSYN1_0221,Good_sequence,Perfect,544,544.0,458,458.0,1437,Bad clone,544,234.0,458,192.0,893
50,BBF10K_000224,MMSYN1_0448,Point_mutation,Mutation: 0.0 1.0,563,563.0,470,469.0,768,Bad clone,563,241.0,470,201.0,893
51,BBF10K_000262,MMSYN1_0544,Good_sequence,Perfect,550,550.0,312,312.0,1023,Bad clone,550,241.0,312,135.0,893
52,BBF10K_000087,MMSYN1_0213,Good_sequence,Perfect,567,567.0,288,288.0,1356,Bad clone,567,240.0,288,127.0,893
53,BBF10K_000316,MMSYN1_0690,Good_sequence,Perfect,453,453.0,246,246.0,2007,Bad clone,453,194.0,246,111.0,893
54,BBF10K_000294,MMSYN1_0652,Good_sequence,Perfect,485,485.0,1,1.0,1449,Bad Forward,485,199.0,1,1.0,893
55,BBF10K_000266,MMSYN1_0606,Good_sequence,Perfect,557,557.0,399,399.0,1215,Bad clone,557,230.0,399,167.0,893
56,BBF10K_000633,GFP,Good_sequence,Perfect,472,472.0,417,417.0,720,Bad clone,472,215.0,417,182.0,893
57,BBF10K_000637,EiraCFP,Good_sequence,Perfect,488,488.0,357,357.0,702,Bad clone,488,228.0,357,157.0,893
58,BBF10K_000442,lambda exonuclease,Good_sequence,Perfect,547,547.0,432,432.0,681,Bad clone,547,237.0,432,187.0,893
59,BBF10K_000629,Tardigrade CAHS 107838,Good_sequence,Perfect,505,505.0,11,11.0,690,Mutation: 288.0 1.0,505,217.0,11,10.0,893
60,BBF10K_000634,mRFP,Original_vector_sequence,Bad clone,513,5.0,399,6.0,678,Mutation: 5.0 11.0,513,508.0,399,388.0,893
61,BBF10K_000444,T7 ligase,Good_sequence,Perfect,448,448.0,474,474.0,1080,Bad clone,448,196.0,474,203.0,893
62,BBF10K_000635,sfGFP,Unknown_sequence,Bad clone,505,6.0,441,6.0,717,Bad clone,505,234.0,441,187.0,893
63,BBF10K_000639,BlazeYFP,Original_vector_sequence,Bad clone,523,223.0,393,171.0,705,Perfect,523,523.0,393,393.0,893
64,BBF10K_000451,Pfu_Poly,Good_sequence,Perfect,464,464.0,432,432.0,2328,Bad clone,464,201.0,432,184.0,893
65,BBF10K_000443,exonuclease i,Good_sequence,Perfect,542,542.0,410,410.0,1380,Bad clone,542,231.0,410,175.0,893
66,BBF10K_000638,JuniperGFP,Good_sequence,Perfect,545,545.0,466,466.0,705,Bad clone,545,258.0,466,205.0,893
67,BBF10K_000445,T5 exonuclease,Good_sequence,Perfect,586,586.0,465,465.0,876,Bad clone,586,245.0,465,200.0,893
68,BBF10K_000439,Alkaline Phosphatase,Point_mutation,Mutation: 1.0 0.0,513,512.0,434,434.0,1128,Bad clone,513,218.0,434,183.0,893
69,BBF10K_000636,TannenRFP,Good_sequence,Perfect,468,468.0,436,436.0,705,Bad clone,468,221.0,436,189.0,893
70,BBF10K_000453,Taq_ligase,Partial,Bad Reverse,453,453.0,459,356.0,2031,Bad clone,453,196.0,459,205.0,893
71,BBF10K_000449,TEV protease,Good_sequence,Perfect,472,472.0,74,74.0,708,Bad clone,472,202.0,74,37.0,893
72,BBF10K_000630,Tardigrade CAHS 106094,Good_sequence,Perfect,480,480.0,475,475.0,684,Bad clone,480,201.0,475,203.0,893
73,BBF10K_000440,Bst Polymerase(KG),Good_sequence,Perfect,544,544.0,427,427.0,1767,Bad clone,544,233.0,427,191.0,893
74,BBF10K_000631,Tardigrade CAHS 94063,Good_sequence,Perfect,531,531.0,414,414.0,684,Bad clone,531,228.0,414,184.0,893
75,BBF10K_000446,T4 ligase,Point_mutation,Mutation: 1.0 0.0,440,439.0,429,429.0,1464,Bad clone,440,189.0,429,189.0,893
76,BBF10K_000583,Dendra2,Unknown_sequence,Bad clone,578,240.0,376,163.0,678,Bad clone,578,242.0,376,161.0,893
77,BBF10K_000602,OMT3,Point_mutation,Mutation: 2.0 0.0,563,561.0,406,406.0,1119,Bad clone,563,236.0,406,175.0,893
78,BBF10K_000620,sat4,Point_mutation,Mutation: 1.0 1.0,1000,542.0,1150,542.0,543,Bad clone,1000,355.0,1150,367.0,893
79,BBF10K_000606,CYP719A23_DIR,Good_sequence,Perfect,489,489.0,440,440.0,1470,Bad clone,489,205.0,440,189.0,893
80,BBF10K_000616,Cat_BS,Good_sequence,Perfect,576,576.0,466,466.0,651,Bad clone,576,240.0,466,196.0,893
81,BBF10K_000601,CYP71CU1,Good_sequence,Perfect,458,458.0,415,415.0,1482,Bad clone,458,193.0,415,176.0,893
82,BBF10K_000596,mevalonate_kinase,Point_mutation,Mutation: 25.0 2.0,429,404.0,432,430.0,1332,Bad clone,429,186.0,432,185.0,893
83,BBF10K_000590,pchB,Good_sequence,Perfect,504,306.0,382,306.0,306,Bad clone,504,211.0,382,166.0,893
84,BBF10K_000618,aad6,Bad_reads,Bad_reads,8,8.0,5,5.0,909,Bad_reads,8,6.0,5,5.0,893
85,BBF10K_000619,sat2,Good_sequence,Perfect,513,513.0,423,423.0,525,Bad clone,513,218.0,423,185.0,893
86,BBF10K_000607,CYP82D61,Partial,Bad Reverse,505,505.0,461,450.0,1362,Bad clone,505,220.0,461,197.0,893
87,BBF10K_000594,hydroxymethylglutaryl-CoA_synthase,Good_sequence,Perfect,549,549.0,440,440.0,1167,Bad clone,549,231.0,440,193.0,893
88,BBF10K_000595,hydroxymethylglutaryl-CoA_reductase,Point_mutation,Mutation: 0.0 3.0,565,565.0,476,473.0,1284,Bad clone,565,245.0,476,205.0,893
89,BBF10K_000591,BBa_K1616023,Good_sequence,Perfect,566,516.0,400,400.0,516,Bad clone,566,242.0,400,173.0,893
90,BBF10K_000621,aac3,Good_sequence,Perfect,430,430.0,386,386.0,534,Bad clone,430,186.0,386,167.0,893
91,BBF10K_000598,diphosphomevalonate_decarboxylase_MVD1,Good_sequence,Perfect,519,519.0,395,395.0,1191,Bad clone,519,221.0,395,167.0,893
92,BBF10K_000624,AgeIM,Good_sequence,Perfect,567,567.0,385,385.0,1290,Bad clone,567,239.0,385,167.0,893
93,BBF10K_000614,KanR,Good_sequence,Perfect,564,564.0,430,430.0,816,Bad clone,564,243.0,430,185.0,893
94,BBF10K_000585,NanoOrga-luc,Good_sequence,Perfect,491,491.0,438,438.0,516,Bad clone,491,206.0,438,183.0,893
95,BBF10K_000617,CamR,Good_sequence,Perfect,555,555.0,428,428.0,660,Bad clone,555,234.0,428,183.0,893
