,Gene ID,Gene Name,Outcome,Gene Result,Gene For Length,Gene For Score,Gene Rev Length,Gene Rev Score,Gene Length,Template Result,Template For Length,Template For Score,Template Rev Length,Template Rev Score,Template Length
32,BBF10K_000477,gene_20356,Point_mutation,Mutation: 0.0 1.0,501,501.0,561,560.0,1986,Bad clone,501,212.0,561,238.0,893
33,BBF10K_000498,gene_7150,Good_sequence,Perfect,428,428.0,545,545.0,2121,Bad clone,428,184.0,545,226.0,893
34,BBF10K_000544,gene_18017,Unknown_sequence,Bad clone,553,250.0,587,258.0,1941,Bad clone,553,231.0,587,245.0,893
35,BBF10K_000522,gene_14123,Unknown_sequence,Bad clone,222,107.0,443,202.0,2337,Bad clone,222,93.0,443,194.0,893
36,BBF10K_000549,Archaea_7,Unknown_sequence,Bad clone,509,238.0,573,250.0,2253,Bad clone,509,213.0,573,236.0,893
37,BBF10K_000550,Archaea_8,Unknown_sequence,Bad clone,556,263.0,546,237.0,2304,Bad clone,556,232.0,546,232.0,893
38,BBF10K_000542,gene_17978,CHECK,Bad Reverse,1,1.0,606,264.0,2199,Bad Reverse,1,1.0,606,257.0,893
39,BBF10K_000502,gene_13519,Unknown_sequence,Bad clone,495,236.0,549,238.0,2352,Bad clone,495,210.0,549,229.0,893
40,BBF10K_000503,gene_14983,Unknown_sequence,Bad clone,489,232.0,554,242.0,3198,Bad clone,489,209.0,554,240.0,893
41,BBF10K_000508,gene_5297,Unknown_sequence,Bad clone,447,198.0,298,135.0,2613,Bad clone,447,189.0,298,127.0,893
42,BBF10K_000506,gene_21126,Unknown_sequence,Bad clone,533,246.0,559,251.0,2244,Bad clone,533,227.0,559,242.0,893
43,BBF10K_000552,Archaea_1,Original_vector_sequence,Bad clone,456,197.0,120,60.0,2577,Perfect,456,456.0,120,120.0,893
44,BBF10K_000509,gene_6521,Unknown_sequence,Bad clone,480,227.0,576,260.0,2304,Bad clone,480,202.0,576,241.0,893
45,BBF10K_000518,gene_4660,Unknown_sequence,Bad clone,535,236.0,575,256.0,1914,Bad clone,535,225.0,575,246.0,893
46,BBF10K_000513,gene_15946,Unknown_sequence,Bad clone,545,237.0,508,267.0,2316,Bad clone,545,235.0,508,221.0,893
47,BBF10K_000516,gene_18719,Original_vector_sequence,Bad clone,510,218.0,476,212.0,3225,Perfect,510,510.0,476,476.0,893
48,BBF10K_000533,gene_17982,Original_vector_sequence,Bad clone,522,223.0,508,222.0,2529,Perfect,522,522.0,508,508.0,893
49,BBF10K_000519,gene_5460,Unknown_sequence,Bad clone,540,244.0,541,243.0,2343,Bad clone,540,229.0,541,232.0,893
50,BBF10K_000515,gene_18203,Original_vector_sequence,Bad clone,508,221.0,548,235.0,1989,Perfect,508,508.0,548,548.0,893
51,BBF10K_000546,gene_8494,Original_vector_sequence,Bad clone,498,217.0,545,235.0,2619,Perfect,498,498.0,545,545.0,893
52,BBF10K_000547,Archaea_2,Unknown_sequence,Bad clone,515,235.0,557,246.0,1902,Bad clone,515,223.0,557,234.0,893
53,BBF10K_000527,gene_20968,Unknown_sequence,Bad clone,528,241.0,521,234.0,2253,Bad clone,528,225.0,521,223.0,893
54,BBF10K_000543,gene_18014,Unknown_sequence,Bad clone,510,241.0,523,235.0,2067,Bad clone,510,219.0,523,225.0,893
55,BBF10K_000528,gene_2579,Unknown_sequence,Bad clone,534,304.0,514,248.0,2313,Bad clone,534,229.0,514,220.0,893
56,BBF10K_000504,gene_16946,Unknown_sequence,Bad clone,524,247.0,511,223.0,3096,Bad clone,524,219.0,511,217.0,893
57,BBF10K_000524,gene_18839,Unknown_sequence,Bad clone,513,299.0,547,289.0,2358,Bad clone,513,220.0,547,232.0,893
58,BBF10K_000514,gene_16426,Unknown_sequence,Bad clone,535,255.0,551,241.0,2535,Bad clone,535,227.0,551,235.0,893
59,BBF10K_000521,gene_136,Unknown_sequence,Bad clone,526,241.0,559,245.0,2280,Bad clone,526,225.0,559,236.0,893
60,BBF10K_000534,gene_18958,Unknown_sequence,Bad clone,533,245.0,522,263.0,2337,Bad clone,533,223.0,522,219.0,893
61,BBF10K_000551,Archaea_6,Unknown_sequence,Bad clone,537,254.0,487,215.0,2586,Bad clone,537,227.0,487,212.0,893
62,BBF10K_000540,gene_5976,Unknown_sequence,Bad clone,500,229.0,524,270.0,2298,Bad clone,500,212.0,524,220.0,893
63,BBF10K_000541,gene_7520,Unknown_sequence,Bad clone,523,238.0,490,211.0,2091,Bad clone,523,218.0,490,211.0,893
64,BBF10K_000531,gene_13471,Unknown_sequence,Bad clone,552,255.0,483,214.0,2358,Bad clone,552,235.0,483,201.0,893
65,BBF10K_000537,gene_18016,Original_vector_sequence,Bad clone,518,223.0,518,229.0,2322,Perfect,518,518.0,518,518.0,893
66,BBF10K_000520,gene_841,Bad_reads,Bad_reads,9,8.0,6,6.0,2061,Bad_reads,9,7.0,6,5.0,893
67,BBF10K_000525,gene_18998,Unknown_sequence,Bad clone,440,207.0,521,232.0,2274,Bad clone,440,185.0,521,216.0,893
68,BBF10K_000548,Archaea_4-1,Unknown_sequence,Bad clone,518,233.0,540,241.0,2367,Bad clone,518,225.0,540,226.0,893
69,BBF10K_000548,Archaea_4-1,CHECK,Bad clone,514,221.0,540,241.0,2367,Bad Reverse,514,514.0,540,226.0,893
70,BBF10K_000529,gene_4481,Unknown_sequence,Bad clone,549,253.0,510,251.0,2322,Bad clone,549,237.0,510,218.0,893
71,BBF10K_000523,gene_16842,Unknown_sequence,Bad clone,545,258.0,532,260.0,2370,Bad clone,545,227.0,532,240.0,893
72,BBF10K_000511,gene_11357,Unknown_sequence,Bad clone,552,258.0,535,231.0,2166,Bad clone,552,230.0,535,230.0,893
73,BBF10K_000536,gene_8487,Unknown_sequence,Bad clone,529,247.0,493,217.0,2286,Bad clone,529,226.0,493,208.0,893
74,BBF10K_000532,gene_21289,Unknown_sequence,Bad clone,511,230.0,531,234.0,3207,Bad clone,511,215.0,531,226.0,893
75,BBF10K_000505,gene_18861,Unknown_sequence,Bad clone,542,245.0,532,239.0,2301,Bad clone,542,228.0,532,231.0,893
76,BBF10K_000530,gene_5004,Unknown_sequence,Bad clone,551,257.0,511,227.0,2430,Bad clone,551,232.0,511,218.0,893
77,BBF10K_000538,gene_4720,Original_vector_sequence,Bad clone,508,218.0,541,238.0,2304,Perfect,508,508.0,541,541.0,893
78,BBF10K_000507,gene_4617,Unknown_sequence,Bad clone,547,249.0,425,175.0,2184,Bad clone,547,235.0,425,168.0,893
79,BBF10K_000526,gene_19803,Original_vector_sequence,Bad clone,516,219.0,213,95.0,2157,Perfect,516,516.0,213,213.0,893
80,BBF10K_000517,gene_351,Unknown_sequence,Bad clone,555,252.0,521,223.0,2094,Bad clone,555,235.0,521,218.0,893
81,BBF10K_000517,gene_351,CHECK,Bad clone,567,242.0,521,223.0,2094,Bad Reverse,567,567.0,521,218.0,893
82,BBF10K_000559,gene_12630,Good_sequence,Perfect,540,540.0,509,509.0,3078,Bad clone,540,228.0,509,213.0,893
83,BBF10K_000558,gene_12619,Good_sequence,Perfect,570,570.0,551,551.0,3192,Bad clone,570,235.0,551,231.0,893
84,BBF10K_000556,gene_3090,Point_mutation,Mutation: 0.0 1.0,561,561.0,503,502.0,3225,Bad clone,561,238.0,503,218.0,893
85,BBF10K_000560,gene_7525,Original_vector_sequence,Bad clone,521,230.0,483,209.0,2874,Perfect,521,521.0,483,483.0,893
86,BBF10K_000557,gene_7321,Good_sequence,Perfect,425,425.0,423,423.0,3216,Bad clone,425,181.0,423,182.0,893
87,BBF10K_000555,Archaea_5,Good_sequence,Perfect,530,530.0,523,523.0,2676,Bad clone,530,226.0,523,222.0,893
88,BBF10K_000553,Archaea_3,Original_vector_sequence,Bad clone,574,254.0,525,231.0,2592,Perfect,574,574.0,525,525.0,893
89,BBF10K_000553,Archaea_3,Original_vector_sequence,Bad clone,573,254.0,525,231.0,2592,Perfect,573,573.0,525,525.0,893
90,BBF10K_000553,Archaea_3,Original_vector_sequence,Bad clone,582,259.0,525,231.0,2592,Perfect,582,582.0,525,525.0,893
91,BBF10K_000553,Archaea_3,Original_vector_sequence,Bad clone,535,239.0,525,231.0,2592,Perfect,535,535.0,525,525.0,893
92,BBF10K_000553,Archaea_3,CHECK,Bad clone,533,237.0,525,231.0,2592,Bad Forward,533,225.0,525,525.0,893
93,BBF10K_000553,Archaea_3,CHECK,Bad clone,541,245.0,525,231.0,2592,Bad Forward,541,230.0,525,525.0,893
94,BBF10K_000553,Archaea_3,CHECK,Bad clone,506,227.0,525,231.0,2592,Bad Forward,506,210.0,525,525.0,893
95,BBF10K_000553,Archaea_3,CHECK,Bad clone,454,208.0,525,231.0,2592,Bad Forward,454,196.0,525,525.0,893
